title,synopsis,genre_id
Worms,Comedic turn-based artillery game featuring cartoon worms and destructible terrain.,
Wrecking Crew '98,Puzzle/action hybrid featuring Mario characters demolishing and clearing levels.,
WWF Raw,Wrestling sim based on the WWF Monday Night Raw TV show.,
WWF Royal Rumble,Wrestling game replicating the chaotic Royal Rumble match format.,
WWF Super WrestleMania,Pro wrestling action based on WrestleMania events.,
WWF WrestleMania: The Arcade Game,Over-the-top arcade wrestling with digitized moves and combos.,
X-Kaliber 2097,Futuristic action title featuring cybernetic combat and sci-fi environments.,
X-Men: Mutant Apocalypse,Fast-paced beat‑’em‑up featuring X‑Men battling villainous mutants.,
X-Zone,Arena shooter with sci-fi themes and competitive levels.,
Xak: The Art of Visual Stage,Fantasy action RPG with vibrant graphics and narrative focus.,
Xandra no Daibouken - Valkyrie to no Deai,Adventure game featuring Valkyrie’s origin in a mythical world.,
Xardion,Sci-fi action platformer with transforming mecha and power upgrades.,
Yadamon - Wonderland Dreams,Surreal platformer exploring dreamlike fantasy worlds.,
Yakouchuu,Dark action-adventure where a priest fights demonic insects with firepower.,
Yam Yam,Relaxing puzzle game with musical elements and gentle aesthetics.,
Yokoyama Mitsuteru Sangokushi,Strategy RPG based on the classic Romance of the Three Kingdoms.,
Yokoyama Mitsuteru Sangokushi 2,Sequel with expanded characters and historical scenarios.,
Yokoyama Mitsuteru Sangokushi Bangi - Sugoroku Eiyuu-ki,Sugoroku-style board game adaptation of the Three Kingdoms saga.,
Yokozuna Monogatari,Sumo management sim where players train their wrestler to become Yokozuna.,
Yoshi no Cookie: Kuruppon Oven de Cookie,Puzzle game where Yoshi bakes and serves cookies.,
Yoshi's Cookie,Block-matching puzzle featuring cute Yoshi-themed items.,
Yoshi's Safari,On-rails shooter where Mario rides Yoshi through dinosaur worlds.,
Youchien Senki Madara,Tactical RPG starring childhood-maker heroes and demons.,
Youkai Buster: Ruka no Daibouken,Cute side-scroller where a girl battles yokai using quirky weapons.,
Young Merlin,Isometric adventure where Merlin learns magic in a puzzle-filled world.,
Ys III: Wanderers from Ys,Action RPG with fast combat and a sweeping fantasy narrative.,
Ys IV: Mask of the Sun,RPG featuring narrative choices and elemental battles (PC Engine version).,
Ys V: Expert,Challenging action RPG with strategic combat and character leveling.,
Ys V: Ushinawareta Suna no Miyako Kefin,Full version of Ys V with expanded world and story.,
Yu Yu Hakusho,Beat‑’em‑up RPG based on the anime where spirit detectives battle supernatural foes.,
Yu Yu Hakusho 2: Kakutou no Shou,Fighting game featuring characters from the Yu Yu Hakusho series.,
Yu Yu Hakusho Final: Makai Saikyou Retsuden,Action/fighting title with expanded roster and story elements.,
Yu Yu Hakusho: Tokubetsu Hen,Special edition featuring new scenarios and challenges.,
Yumemaboroshi no Gotoku,Dreamlike RPG with surreal visuals and storytelling.,
Yuujin Janjuu Gakuen,School-based RPG mixing friendship and fantasy mechanics.,
Yuujin Janjuu Gakuen 2,Sequel with enhanced character interactions and extended storyline.,
Yuujin no Furi Furi Girls,Rhythm-based adventure starring a group of quirky girls.,
Yuuyu no Quiz de Go! Go!,"Trivia game hosted by Yuuyu, testing player knowledge.",
Zakuro no Aji,Narrative adventure with mystical themes and visual novel elements.,
Zan II Spirits,Fighting game with supernatural fighters and intense combo mechanics.,
Zan III Spirits,Sequel expanding roster and special moves in a mystical fighting game.,
Zen-Nihon Pro Wres 2 - 3-4 Budoukan,Pro wrestling sim featuring matches in Tokyo’s Budokan arena.,
Zenkoku Koukou Soccer,High school soccer sim with team management and match-play.,
Zenkoku Koukou Soccer 2,Sequel adding more schools and strategic depth.,
Zenkoku Koukou Soccer Senshuken 96,Updated high school soccer championship simulator for ’96 season.,
Zennihon GT Senshuken,GT car racing sim focusing on Japanese motorsport circuits.,
Zennihon Pro Wrestling - Fight da Pon! | Zen-Nihon Pro Wres - Fight da Pon!,Arcade-style pro wrestling action with stylized moves.,
Zennihon Pro Wrestling - Sekai Saikyou Tag,Tag-team wrestling game featuring international wrestler duos.,
Zennihon Pro Wrestling | Zen-Nihon Pro Wres,General pro wrestling sim covering major Japanese promotions.,
Zero the Kamikaze Squirrel,Comedic platformer where a squirrel flies through obstacle-filled forests.,
Zero4 Champ RR,Anime-style drag racing game with car tuning and competitive races.,
Zero4 Champ RR-Z,Enhanced drag racer with improved cars and visuals.,
Zico Soccer,Soccer game endorsed by legendary Brazilian player Zico.,
Zig Zag Cat - Ostrich Club mo Oosawagi da,Madcap platformer starring a zigzagging cat in wacky levels.,
Zombies Ate My Neighbors,Cooperative shooter where neighbors fight off hordes of monsters in suburban chaos.,
Zool: Ninja of the Nth Dimension,Fast-paced platformer starring a ninja from another dimension.,
Zoop,Puzzle game mixing reflex speed with color-matching challenge.,
Zootto Mahjong!,Mahjong casual sim with cute characters and accessible rules.,
